Record number,Date,All
0,2020-03-13T19:49:07+01:00,0
1,2020-03-22T20:12:05+01:00,1
2,2020-03-23T00:00:00+01:00,2
3,2020-03-24T21:20:21+01:00,3
4,2020-03-25T11:35:23+01:00,4
5,2020-03-25T12:20:24+01:00,5
6,2020-03-25T17:23:51+01:00,6
7,2020-03-26T16:22:21+01:00,7
8,2020-03-26T18:11:13+01:00,9
9,2020-03-28T18:21:14+01:00,11
10,2020-03-29T10:07:50+01:00,13
11,2020-03-29T19:03:25+01:00,16
12,2020-03-29T21:31:42+01:00,17
13,2020-03-30T19:04:00+01:00,23
14,2020-03-31T13:08:24+01:00,24
15,2020-03-31T19:34:51+01:00,31
16,2020-04-01T08:55:35+01:00,32
17,2020-04-01T18:03:45+01:00,39
18,2020-04-02T08:30:00+00:00,40
19,2020-04-02T17:30:00+00:00,44
20,2020-04-03T08:30:00+02:00,46
21,2020-04-03T17:45:00+02:00,53
22,2020-04-04T08:25:00+02:00,56
23,2020-04-04T17:31:00+02:00,59
24,2020-04-05T08:30:00+02:00,62
25,2020-04-05T17:31:00+02:00,67
26,2020-04-06T08:25:00+02:00,72
27,2020-04-06T17:30:00+02:00,78
28,2020-04-07T08:30:00+02:00,80
29,2020-04-07T17:30:00+02:00,87
30,2020-04-07T17:45:00+02:00,88
31,2020-04-08T08:25:00+02:00,91
32,2020-04-08T17:30:00+02:00,99
33,2020-04-09T08:30:00+02:00,104
34,2020-04-09T17:25:00+02:00,112
35,2020-04-10T08:25:00+02:00,113
36,2020-04-10T17:30:00+02:00,119
37,2020-04-11T08:30:00+02:00,123
38,2020-04-11T17:25:00+02:00,129
39,2020-04-12T08:25:00+02:00,132
40,2020-04-12T17:30:00+02:00,138
41,2020-04-13T08:30:00+02:00,139
42,2020-04-13T17:25:00+02:00,143
43,2020-04-14T08:25:00+02:00,147
44,2020-04-14T17:30:00+02:00,161
45,2020-04-15T08:30:00+02:00,163
46,2020-04-15T17:25:00+02:00,166
47,2020-04-16T17:30:00+02:00,169
48,2020-04-17T08:30:00+02:00,170
49,2020-04-17T17:39:00+02:00,173
50,2020-04-18T08:25:00+02:00,176
51,2020-04-18T17:30:00+02:00,181
52,2020-04-19T17:25:00+02:00,186
53,2020-04-20T08:25:00+02:00,188
54,2020-04-20T17:30:00+02:00,194
55,2020-04-21T08:30:00+02:00,196
56,2020-04-21T17:25:00+02:00,201
57,2020-04-22T09:15:00+02:00,204
58,2020-04-22T17:30:00+02:00,208
59,2020-04-23T08:30:00+02:00,210
60,2020-04-24T08:30:00+02:00,213
61,2020-04-24T17:30:00+02:00,214
62,2020-04-25T08:30:00+02:00,215
63,2020-04-25T17:25:00+02:00,218
64,2020-04-26T08:25:00+02:00,219
65,2020-04-26T17:30:00+02:00,220
66,2020-04-27T08:30:00+02:00,221
67,2020-04-27T10:25:00+02:00,222
68,2020-04-28T00:35:00+02:00,223
69,2020-04-28T17:30:00+02:00,225
70,2020-04-29T00:30:00+02:00,227
71,2020-04-30T17:30:00+02:00,235
72,2020-05-01T00:30:00+02:00,236
73,2020-05-01T08:30:00+02:00,237
74,2020-05-01T17:25:00+02:00,240
75,2020-05-02T08:25:00+02:00,241
76,2020-05-02T17:30:00+02:00,245
77,2020-05-04T00:30:00+02:00,248
78,2020-05-04T08:25:00+02:00,249
79,2020-05-04T17:30:00+02:00,251
80,2020-05-05T00:30:00+02:00,252
81,2020-05-05T17:25:00+02:00,254
82,2020-05-06T00:30:00+02:00,257
83,2020-05-06T08:25:00+02:00,258
84,2020-05-06T17:30:00+02:00,262
85,2020-05-07T08:30:00+02:00,263
86,2020-05-07T17:25:00+02:00,269
87,2020-05-08T00:30:00+02:00,270
88,2020-05-08T17:30:00+02:00,271
89,2020-05-09T00:30:00+02:00,273
90,2020-05-09T17:25:00+02:00,276
91,2020-05-10T17:30:00+02:00,279
92,2020-05-11T00:30:00+02:00,280
93,2020-05-11T13:42:00+02:00,281
94,2020-05-12T00:30:00+02:00,282
95,2020-05-12T08:25:00+02:00,283
96,2020-05-12T17:30:00+02:00,282
97,2020-05-13T00:30:00+02:00,283
98,2020-05-13T10:35:00+02:00,284
99,2020-05-13T17:30:00+02:00,288
100,2020-05-14T00:30:00+02:00,290
101,2020-05-14T09:00:00+02:00,292
102,2020-05-15T00:30:00+02:00,293
103,2020-05-15T17:30:00+02:00,295
104,2020-05-16T17:30:00+02:00,296
105,2020-05-17T09:00:00+02:00,297
106,2020-05-17T17:30:00+02:00,298
107,2020-05-18T17:30:00+02:00,297
108,2020-05-19T09:00:00+02:00,299
109,2020-05-19T13:40:00+02:00,301
110,2020-05-19T17:30:00+02:00,302
111,2020-05-20T09:00:00+02:00,303
112,2020-05-20T09:00:00+02:00,304
113,2020-05-21T17:30:00+02:00,306
114,2020-05-22T17:30:00+02:00,312
115,2020-05-23T09:00:00+02:00,314
116,2020-05-24T09:00:00+02:00,315
117,2020-05-25T17:30:00+02:00,317
118,2020-05-28T17:30:00+02:00,318
119,2020-05-29T00:30:00+02:00,319
120,2020-05-31T17:30:00+02:00,320
121,2020-06-01T17:30:00+02:00,321
122,2020-06-02T17:30:00+02:00,323
123,2020-06-03T17:30:00+02:00,325
124,2020-06-04T00:30:00+02:00,324
125,2020-06-04T17:30:00+02:00,325
126,2020-06-05T00:30:00+02:00,326
127,2020-06-05T17:30:00+02:00,327
128,2020-06-08T00:30:00+02:00,328
129,2020-06-10T09:00:00+02:00,330
130,2020-06-10T17:30:00+02:00,328
131,2020-06-12T00:30:00+02:00,329
132,2020-06-12T09:00:00+02:00,328
133,2020-06-14T17:30:00+02:00,329
134,2020-06-15T09:00:00+02:00,330
135,2020-06-16T17:30:00+02:00,331
136,2020-06-17T09:00:00+02:00,332
137,2020-06-17T17:30:00+02:00,333
138,2020-06-18T17:30:00+02:00,334
139,2020-06-19T09:00:00+02:00,335
140,2020-06-20T17:30:00+02:00,336
141,2020-06-21T17:30:00+02:00,337
142,2020-06-21T17:30:00+02:00,336
143,2020-06-23T09:00:00+02:00,337
144,2020-06-23T17:30:00+02:00,339
145,2020-06-24T09:00:00+02:00,340
146,2020-06-24T09:00:00+02:00,343
147,2020-06-25T09:00:00+02:00,344
148,2020-06-25T17:30:00+02:00,345
149,2020-06-26T17:30:00+02:00,349
150,2020-06-26T17:40:00+02:00,346
151,2020-06-27T00:30:00+02:00,349
152,2020-06-28T00:30:00+02:00,347
153,2020-06-29T00:30:00+02:00,348
154,2020-06-30T09:00:00+02:00,349
155,2020-07-02T17:30:00+02:00,353
156,2020-07-03T00:30:00+02:00,351
157,2020-07-03T08:00:00+02:00,353
158,2020-07-03T17:30:00+02:00,352
159,2020-07-05T00:30:00+02:00,351
160,2020-07-05T17:30:00+02:00,348
161,2020-07-06T17:30:00+02:00,350
162,2020-07-07T17:30:00+02:00,351
163,2020-07-09T00:30:00+02:00,352
164,2020-07-13T17:30:00+02:00,353
165,2020-07-14T17:30:00+02:00,355
166,2020-07-18T00:30:00+02:00,358
167,2020-07-19T00:30:00+02:00,359
168,2020-07-25T00:30:00+02:00,369
169,2020-07-25T17:30:00+02:00,368
170,2020-07-26T17:30:00+02:00,371
171,2020-07-27T00:30:00+02:00,373
172,2020-07-28T17:30:00+02:00,374
173,2020-07-29T00:30:00+02:00,373
174,2020-07-29T00:30:00+02:00,374
175,2020-07-30T08:26:00+02:00,375
176,2020-07-30T11:45:00+02:00,378
177,2020-07-30T11:45:00+02:00,379
178,2020-07-31T17:30:00+02:00,382
179,2020-08-02T00:30:00+02:00,383
180,2020-08-02T17:30:00+02:00,384
181,2020-08-03T17:30:00+02:00,386
182,2020-08-04T17:30:00+02:00,383
183,2020-08-05T00:30:00+02:00,388
184,2020-08-16T01:01:00+02:00,395
185,2020-08-16T18:01:00+02:00,397
186,2020-08-17T18:01:00+02:00,399
187,2020-08-18T18:01:00+02:00,401
188,2020-08-19T18:01:00+02:00,404
189,2020-08-20T01:01:00+02:00,405
190,2020-08-21T01:01:00+02:00,406
191,2020-08-21T18:01:00+02:00,410
192,2020-08-22T01:01:00+02:00,411
193,2020-08-23T18:01:00+02:00,412
194,2020-08-24T18:01:00+02:00,415
195,2020-08-25T18:01:00+02:00,416
196,2020-08-26T18:01:00+02:00,418
197,2020-08-28T11:14:00+02:00,419
198,2020-08-29T18:01:00+02:00,421
199,2020-08-30T18:01:00+02:00,423
200,2020-08-31T18:01:00+02:00,424
201,2020-09-01T18:01:00+02:00,425
202,2020-09-03T18:01:00+02:00,426
203,2020-09-04T18:01:00+02:00,429
204,2020-09-05T18:01:00+02:00,431
205,2020-09-06T18:01:00+02:00,435
206,2020-09-07T01:01:00+02:00,436
207,2020-09-07T18:02:00+02:00,437
208,2020-09-08T18:02:00+02:00,440
209,2020-09-09T01:01:00+02:00,441
210,2020-09-09T18:02:00+02:00,444
212,2020-09-10T18:02:00+02:00,447
213,2020-09-11T01:02:00+02:00,448
214,2020-09-11T18:02:00+02:00,450
215,2020-09-12T18:02:00+02:00,453
216,2020-09-13T18:02:00+02:00,456
217,2020-09-14T18:02:00+02:00,465
218,2020-09-15T18:03:00+02:00,476
219,2020-09-16T18:02:00+02:00,481
220,2020-09-17T01:02:00+02:00,482
221,2020-09-17T17:57:00+02:00,488
222,2020-09-18T01:03:00+02:00,489
223,2020-09-18T17:58:00+02:00,494
224,2020-09-19T01:02:00+02:00,495
225,2020-09-19T17:58:00+02:00,499
226,2020-09-20T17:58:00+02:00,502
227,2020-09-21T01:03:00+02:00,503
228,2020-09-21T01:03:00+02:00,521
229,2020-09-22T01:03:00+02:00,522
230,2020-09-22T17:58:00+02:00,530
231,2020-09-23T01:03:00+02:00,531
232,2020-09-23T17:58:00+02:00,551
233,2020-09-24T01:03:00+02:00,555
234,2020-09-24T17:58:00+02:00,567
235,2020-09-25T01:04:00+02:00,578
236,2020-09-26T01:04:00+02:00,581
138,2020-09-26T17:59:00+02:00,588
139,2020-09-27T01:04:00+02:00,591
140,2020-09-27T17:59:00+02:00,601
141,2020-09-28T01:05:00+02:00,606
142,2020-09-28T18:00:00+02:00,615
143,2020-09-29T01:04:00+02:00,618
144,2020-10-10T01:00:00+02:00,905
145,2020-10-10T01:00:00+02:00,905
146,2020-10-10T01:00:00+02:00,905
147,2020-10-10T01:00:00+02:00,905
148,2020-10-10T18:00:00+02:00,934
149,2020-10-11T01:00:00+02:00,948
150,2020-10-11T18:00:00+02:00,982
151,2020-10-12T01:00:00+02:00,987
152,2020-10-12T18:00:00+02:00,1045
153,2020-10-13T01:00:00+02:00,1051
154,2020-10-13T18:00:00+02:00,1097
155,2020-10-14T01:00:00+02:00,1106
156,2020-11-03T01:01:00+02:00,3654
157,2020-11-03T18:01:00+02:00,3859
158,2020-11-03T18:01:00+02:00,3859
159,2020-11-03T18:01:00+02:00,3859
160,2020-11-04T01:01:00+02:00,3913
161,2020-11-04T01:01:00+02:00,3913
162,2020-11-04T18:01:00+02:00,4089
163,2020-11-05T01:21:00+02:00,4133
164,2020-11-05T01:21:00+02:00,4133
165,2020-11-05T01:21:00+02:00,4133
166,2020-11-05T18:01:00+02:00,4301
167,2020-11-05T18:01:00+02:00,4301
168,2020-11-05T18:01:00+02:00,4301
169,2020-11-06T01:21:00+02:00,4330
170,2020-11-10T05:21:00+02:00,5074
171,2020-11-10T05:21:00+02:00,5074
172,2020-11-10T18:01:00+02:00,5263
173,2020-11-11T01:21:00+02:00,5323
174,2020-11-11T01:21:00+02:00,5323
175,2020-11-11T18:01:00+02:00,5517
176,2020-11-11T18:01:00+02:00,5517
