Record number,Date,All
0,2020-03-13T19:49:07+01:00,0
1,2020-03-16T17:56:54+01:00,3
2,2020-03-20T13:04:23+01:00,4
3,2020-03-21T14:03:58+01:00,5
4,2020-03-21T17:50:01+01:00,6
5,2020-03-23T19:42:07+01:00,7
6,2020-03-24T20:03:31+01:00,8
7,2020-03-24T21:26:48+01:00,10
8,2020-03-27T14:05:35+01:00,11
9,2020-03-30T19:04:00+01:00,25
10,2020-03-31T18:53:30+01:00,45
11,2020-04-01T18:03:45+01:00,61
12,2020-04-02T17:40:00+00:00,67
13,2020-04-03T08:30:00+02:00,71
14,2020-04-03T17:45:00+02:00,72
15,2020-04-04T08:25:00+02:00,74
16,2020-04-04T17:30:00+02:00,78
17,2020-04-05T08:30:00+02:00,96
18,2020-04-06T17:30:00+02:00,121
19,2020-04-07T08:30:00+02:00,127
20,2020-04-07T17:30:00+02:00,147
21,2020-04-07T17:45:00+02:00,172
22,2020-04-08T08:25:00+02:00,181
23,2020-04-08T17:30:00+02:00,233
24,2020-04-09T08:30:00+02:00,243
25,2020-04-09T17:25:00+02:00,301
26,2020-04-10T08:25:00+02:00,309
27,2020-04-10T17:30:00+02:00,346
28,2020-04-11T08:30:00+02:00,370
29,2020-04-11T17:25:00+02:00,411
30,2020-04-12T08:25:00+02:00,422
31,2020-04-12T17:30:00+02:00,464
32,2020-04-13T08:30:00+02:00,467
33,2020-04-13T17:25:00+02:00,519
34,2020-04-14T08:25:00+02:00,527
35,2020-04-14T17:30:00+02:00,642
36,2020-04-15T08:30:00+02:00,676
37,2020-04-15T17:25:00+02:00,819
38,2020-04-16T08:25:00+02:00,831
39,2020-04-16T17:30:00+02:00,972
40,2020-04-17T08:30:00+02:00,979
41,2020-04-17T17:25:00+02:00,1174
42,2020-04-18T08:25:00+02:00,1183
43,2020-04-18T17:30:00+02:00,1227
44,2020-04-19T08:30:00+02:00,1235
